net.optimized_memory = 0 
mini_batch = 1, batch = 16, time_steps = 1, train = 0 

 seen 64, trained: 32013 K-images (500 Kilo-batches_64) 
Enter Image Path: data/obj/img/frame217.png: Predicted in 61.083000 milli-seconds.
Enter Image Path: data/obj/img/frame218.png: Predicted in 61.132000 milli-seconds.
Enter Image Path: data/obj/img/frame219.png: Predicted in 61.789000 milli-seconds.
Enter Image Path: data/obj/img/frame22.png: Predicted in 62.554000 milli-seconds.
Enter Image Path: data/obj/img/frame220.png: Predicted in 62.494000 milli-seconds.
Enter Image Path: data/obj/img/frame221.png: Predicted in 61.968000 milli-seconds.
Enter Image Path: data/obj/img/frame222.png: Predicted in 62.175000 milli-seconds.
Enter Image Path: data/obj/img/frame223.png: Predicted in 62.418000 milli-seconds.
Enter Image Path: data/obj/img/frame224.png: Predicted in 61.873000 milli-seconds.
Enter Image Path: data/obj/img/frame225.png: Predicted in 60.875000 milli-seconds.
Enter Image Path: data/obj/img/frame226.png: Predicted in 60.971000 milli-seconds.
Enter Image Path: data/obj/img/frame227.png: Predicted in 61.148000 milli-seconds.
Enter Image Path: data/obj/img/frame228.png: Predicted in 61.014000 milli-seconds.
Enter Image Path: data/obj/img/frame229.png: Predicted in 60.349000 milli-seconds.
Enter Image Path: data/obj/img/frame23.png: Predicted in 60.236000 milli-seconds.
Enter Image Path: data/obj/img/frame230.png: Predicted in 60.046000 milli-seconds.
Enter Image Path: data/obj/img/frame231.png: Predicted in 60.026000 milli-seconds.
Enter Image Path: data/obj/img/frame232.png: Predicted in 60.184000 milli-seconds.
Enter Image Path: data/obj/img/frame233.png: Predicted in 60.203000 milli-seconds.
Enter Image Path: data/obj/img/frame234.png: Predicted in 60.303000 milli-seconds.
Enter Image Path: data/obj/img/frame235.png: Predicted in 60.044000 milli-seconds.
Enter Image Path: data/obj/img/frame236.png: Predicted in 60.222000 milli-seconds.
Enter Image Path: data/obj/img/frame237.png: Predicted in 59.997000 milli-seconds.
Enter Image Path: data/obj/img/frame238.png: Predicted in 60.032000 milli-seconds.
Enter Image Path: data/obj/img/frame239.png: Predicted in 60.054000 milli-seconds.
Enter Image Path: data/obj/img/frame24.png: Predicted in 60.138000 milli-seconds.
Enter Image Path: data/obj/img/frame240.png: Predicted in 60.644000 milli-seconds.
Enter Image Path: data/obj/img/frame241.png: Predicted in 60.129000 milli-seconds.
Enter Image Path: data/obj/img/frame242.png: Predicted in 60.213000 milli-seconds.
Enter Image Path: data/obj/img/frame243.png: Predicted in 60.081000 milli-seconds.
Enter Image Path: data/obj/img/frame244.png: Predicted in 60.043000 milli-seconds.
Enter Image Path: data/obj/img/frame245.png: Predicted in 60.444000 milli-seconds.
Enter Image Path: data/obj/img/frame246.png: Predicted in 60.249000 milli-seconds.
Enter Image Path: data/obj/img/frame247.png: Predicted in 60.180000 milli-seconds.
Enter Image Path: data/obj/img/frame248.png: Predicted in 59.983000 milli-seconds.
Enter Image Path: data/obj/img/frame249.png: Predicted in 59.928000 milli-seconds.
Enter Image Path: data/obj/img/frame25.png: Predicted in 60.310000 milli-seconds.
Enter Image Path: data/obj/img/frame250.png: Predicted in 59.924000 milli-seconds.
